mean_variance	median_variance	nun5	nun20	nun50
"AGAP000310"	7.31214980718287	6.89749339807481	106	292	574
"AGAP000311"	2.68128595763925	2.45378744234925	117	321	589
"AGAP000312"	1.866038002589	1.4793898005341	120	359	670
"AGAP000313"	5.03561829188906	4.65427962761039	143	490	977
"AGAP000314"	10.2763238134976	8.68362320009398	14	27	68
"AGAP000315"	8.63887958907179	7.87888435476995	53	112	181
"AGAP000316"	6.3571221775322	5.8597730315357	98	293	614
"AGAP000317"	1.93086646401164	1.58468578065013	135	400	738
"AGAP000319"	9.36707261831009	8.2373122784348	34	81	144
"AGAP000320"	9.21221207220824	8.13258847492158	59	148	248
"AGAP000321"	7.21467195203185	6.27562027307578	81	172	291
"AGAP000322"	2.96268298462349	2.58524226100961	119	346	662
"AGAP000323"	10.1906382116035	8.77289639887525	12	38	79
"AGAP000324"	8.70564748803308	8.27920225889827	69	151	247
"AGAP000325"	9.73113409329503	8.85839707662264	98	294	546
"AGAP000326"	8.10989065872415	7.59253193776333	58	124	207
"AGAP000327"	5.56846568997042	5.30354145322148	108	240	380
"AGAP000328"	3.52382215600025	3.3117792764921	124	349	577
"AGAP000329"	8.59209518299362	8.00835245994607	72	148	223
"AGAP000330"	2.68387504999352	2.55281030489406	133	426	806
"AGAP000331"	10.6310956151121	8.86461907338264	8	25	59
"AGAP000332"	10.368184932987	8.71557136440774	12	28	63
"AGAP000334"	9.20988391641979	8.20774720170742	27	70	134
"AGAP000336"	6.66220493208078	6.42802703963029	111	304	522
"AGAP000337"	10.0095782109734	8.59784301620599	14	44	85
"AGAP000338"	6.29656229428585	5.8762500587317	127	425	906
"AGAP000339"	6.74408596517111	6.45145763220876	129	433	915
"AGAP000340"	8.70436640199759	8.02175142977124	44	106	172
"AGAP000341"	1.93721429262417	1.65674928863846	139	449	859
"AGAP000342"	1.31687764421665	0.913215115574445	130	422	770
"AGAP000343"	9.05520961187769	8.07554321159623	36	80	148
"AGAP000344"	5.55641559250892	5.25309349026759	132	429	824
"AGAP000345"	8.84027971964711	8.38886141953931	71	167	283
"AGAP000346"	2.25501746346368	1.99484850903248	119	305	565
"AGAP000347"	3.54148605606796	3.22629520307186	131	400	766
"AGAP000348"	9.36200369770646	8.48787495377482	56	130	217
"AGAP000349"	8.27440772841839	8.46325972574579	101	291	603
"AGAP000351"	6.77678625901701	6.10669034958571	117	321	579
"AGAP000354"	3.83074761442788	3.61426977283018	87	200	353
"AGAP000355"	8.40827024843527	7.87258109063248	59	127	187
"AGAP000356"	8.29439055290039	7.76190314303911	42	116	187
"AGAP000357"	7.83889007921932	7.43726068151604	67	167	266
"AGAP000358"	1.05992074870167	0.660366141184564	99	252	464
"AGAP000359"	8.21324171152115	7.96644010842577	108	278	583
"AGAP000360"	10.3885567030274	8.76493571300852	14	28	63
"AGAP000361"	9.82562848323352	8.4683991933608	24	52	104
"AGAP000363"	9.89680461259212	8.79133091520265	22	60	107
"AGAP000364"	9.85332708834048	8.36785650831402	73	171	271
"AGAP000365"	8.01835982589572	7.29161566876415	58	115	198
"AGAP000366"	4.36746555238675	4.14414592298862	142	475	954
"AGAP000367"	6.62190372481325	7.08789207073826	113	327	573
"AGAP000368"	10.7413621147846	8.90870296283137	6	26	60
"AGAP000372"	9.77522346136801	8.65689941626916	26	57	97
"AGAP000374"	10.4419367386296	8.77373722900802	21	35	65
"AGAP000375"	8.13300639741152	7.44455950063336	41	94	171
"AGAP000376"	9.03660023738435	8.37381780035119	67	150	253
"AGAP000377"	4.78172630381463	4.7115606573974	140	460	941
"AGAP000378"	1.59314451265037	1.24525333911824	99	277	490
"AGAP000379"	9.67534697511805	8.67120719852626	32	68	118
"AGAP000380"	5.2189294999231	5.12544899264621	101	265	422
"AGAP000382"	1.97982932022837	1.56870409958295	121	338	610
"AGAP000383"	8.82727129925913	8.48266504021842	77	177	322
"AGAP000384"	10.1930289930214	8.8235752262118	10	42	97
"AGAP000385"	8.23390518625139	7.18174592099312	46	96	196
"AGAP000386"	7.91862751092234	7.51373720240335	68	150	257
"AGAP000387"	8.3980861505435	7.78838497275446	44	112	186
"AGAP000388"	8.31865524647369	7.4858634649771	34	84	169
"AGAP000389"	9.91418321321212	8.54242756223286	15	51	101
"AGAP000390"	9.94858198810979	8.53476223782842	14	41	96
"AGAP000391"	7.089345695232	6.44935826441331	90	260	524
"AGAP000392"	2.43711656841256	2.23016609883726	122	347	630
"AGAP000393"	1.52098828023381	1.20155171302007	137	398	738
